Time,PV1,PV2,PV3
10.84305556,109.5,0.747,214.9
10.84444444,110.5,0.676,209.6
10.84583333,109.9,0.751,211.3
10.84722222,109.2,0.759,213.1
10.84861111,110.6,0.694,216.1
10.85,108.1,0.749,154.4
10.85138889,87.5,0.715,117.6
10.85277778,68.66,0.784,104.3
10.85416667,49.86,0.78,79.1
10.85555556,33.22,0.767,69.03
10.85694444,29.87,0.803,69.51
10.85833333,30.37,0.811,75.9
10.85972222,38.52,0.807,141.3
10.86111111,85,0.773,163.9
10.8625,82.4,0.735,117.5
10.86388889,54.08,0.787,122.1
10.86527778,65.43,0.778,117.4
10.86666667,88.5,0.758,73.8
10.86805556,30.93,0.803,66.93
10.86944444,30.02,0.799,113.3
10.87083333,56.5,0.794,201.8
10.87222222,109.9,0.732,207.1
10.87361111,109.6,0.733,206.5
10.875,108.8,0.749,206
10.87638889,109,0.73,205.3
10.87777778,108.8,0.731,206.5
10.87916667,108.9,0.732,206.5
10.88055556,109,0.736,207.6
10.88194444,109.1,0.7,208.3
10.88333333,109.2,0.742,209.5
10.88472222,109.4,0.746,211.3
10.88611111,110.3,0.688,213.7
10.8875,110.2,0.76,215.5
10.88888889,111.8,0.682,217.9
10.89027778,112.3,0.686,74.4
10.89166667,33.53,0.78,75.6
10.89305556,33,0.807,71.4
10.89444444,31.63,0.786,71.4
10.89583333,31.75,0.803,71.4
10.89722222,32.05,0.81,72.6
10.89861111,32.82,0.785,76.2
10.9,35.82,0.776,134.3
10.90138889,76.1,0.739,209.5
10.90277778,101.7,0.756,170
10.90416667,102.2,0.76,213.1
10.90555556,110.5,0.768,185.1
10.90694444,108.8,0.713,208.3
10.90833333,108.5,0.753,196.9
10.90972222,99.7,0.745,206.2
10.91111111,109.1,0.736,205.3
10.9125,108.6,0.73,209.5
10.91388889,109.7,0.746,169.5
10.91527778,74.5,0.774,144.1
10.91666667,67.69,0.759,120.3
10.91805556,75.1,0.759,195.4
10.91944444,106.6,0.728,205.5
10.92083333,108.6,0.73,187.9
10.92222222,90.9,0.766,74.4
10.92361111,31.71,0.774,73.6
10.925,34.61,0.785,92.8
10.92638889,4.014,0.976,75.9
10.92777778,23.93,0.774,56.24
10.92916667,21.56,0.819,55.22
10.93055556,21.39,0.818,55.82
10.93194444,21.82,0.814,56.42
10.93333333,22.23,0.808,55.82
10.93472222,21.67,0.812,55.82
10.93611111,22.18,0.809,58.1
10.9375,23.87,0.815,60.74
10.93888889,25.78,0.795,65.73
10.94027778,32.71,0.832,134.8
10.94166667,72.5,0.758,198.4
10.94305556,85.5,0.787,95.1
10.94444444,52.53,0.783,169.9
10.94583333,93.5,0.757,189
10.94722222,104.3,0.769,210.8
10.94861111,110.8,0.764,209.5
10.95,111.3,0.742,209.5
10.95138889,111.3,0.744,208.9
10.95277778,110.6,0.745,210
10.95416667,111.2,0.745,209.5
10.95555556,111,0.744,211.9
10.95694444,111.6,0.753,213.7
10.95833333,111.9,0.761,134.1
10.95972222,75.1,0.764,108.3
10.96111111,5.309,0,70.2
10.9625,39.14,0.814,98.1
10.96388889,5.161,0,106.8
10.96527778,31.85,0.74,142.3
10.96666667,55.71,0.786,211.1
10.96805556,113.3,0.726,200.1
10.96944444,108,0.715,201.8
10.97083333,93.1,0.724,200.7
10.97222222,89.2,0.723,69.03
10.97361111,30.93,0.789,113
10.975,44.58,0.784,120.1
10.97638889,94,0.777,69.03
10.97777778,30.7,0.818,88.3
10.97916667,67.96,0.812,201.7
10.98055556,111,0.742,216.7
10.98194444,114.7,0.696,219.1
10.98333333,115.9,0.691,222.1
10.98472222,117.2,0.7,96.6
10.98611111,46.32,0.763,77.4
10.9875,36.17,0.787,89.5
10.98888889,42.23,0.809,90.9
10.99027778,48.43,0.78,75.6
10.99166667,34.16,0.795,73.7
10.99305556,33.17,0.788,71.2
10.99444444,31.97,0.799,70.7
10.99583333,32.09,0.791,73.1
10.99722222,33.92,0.793,105
10.99861111,58.65,0.802,181.6
11,111.2,0.709,224.5
11.00138889,119,0.702,214.5
11.00277778,114.2,0.757,210.6
11.00416667,81.9,0.777,101.5
11.00555556,53.22,0.779,104.6
11.00694444,54.95,0.786,99.9
11.00833333,48.43,0.81,83.3
11.00972222,37.32,0.804,74.4
11.01111111,33.96,0.789,70.8
11.0125,31.22,0.789,66.63
11.01388889,28.57,0.815,62.43
11.01527778,26.44,0.799,60.44
11.01666667,24.97,0.802,58.82
11.01805556,24.02,0.813,58.22
11.01944444,23.65,0.803,57.62
11.02083333,23.48,0.82,57.62
11.02222222,23.56,0.79,57.62
11.02361111,23.78,0.807,58.22
11.025,23.98,0.803,58.22
11.02638889,24.18,0.811,58.28
11.02777778,24.23,0.81,58.04
11.02916667,24.12,0.805,58.22
11.03055556,24.04,0.802,57.8
11.03194444,23.7,0.79,57.56
11.03333333,23.6,0.794,57.5
11.03472222,23.62,0.798,57.74
11.03611111,24.11,0.801,59.07
11.0375,24.93,0.812,60.69
11.03888889,26.39,0.786,63.63
11.04027778,28.38,0.788,162.4
11.04166667,109.3,0.759,216.7
11.04305556,115.6,0.77,216.1
11.04444444,116.5,0.758,215.1
11.04583333,115.3,0.759,214.3
11.04722222,114.9,0.757,213.3
11.04861111,112.9,0.769,211.3
11.05,113.6,0.746,210.7
11.05138889,113.2,0.743,209.9
11.05277778,112.8,0.745,209.5
11.05416667,112.6,0.741,209.1
11.05555556,112.3,0.739,208.9
11.05694444,112,0.74,209.5
11.05833333,112,0.744,210
11.05972222,112.5,0.721,63.51
11.06111111,26.1,0.783,57.62
11.0625,23.08,0.792,58.4
11.06388889,24.3,0.798,60.63
11.06527778,25.98,0.79,65.07
11.06666667,32.23,0.827,82.2
11.06805556,67.14,0.84,219.7
11.06944444,116.9,0.685,219.9
11.07083333,118.2,0.722,221.9
11.07222222,118.9,0.701,224.5
11.07361111,120.4,0.712,217.1
11.075,112.3,0.756,214.1
11.07638889,115.3,0.685,224.7
11.07777778,120.1,0.714,226.5
11.07916667,120.7,0.719,226.3
11.08055556,119.5,0.713,170.4
11.08194444,71.6,0.718,198.4
11.08333333,114.1,0.757,195.3
11.08472222,112.9,0.771,227.3
11.08611111,119.3,0.715,226.3
11.0875,118.9,0.713,225.6
11.08888889,118.4,0.711,222.2
11.09027778,117.1,0.704,223.9
11.09166667,117.8,0.71,223.3
11.09305556,116.9,0.727,222.7
11.09444444,116.9,0.709,221.9
11.09583333,116,0.702,221.5
11.09722222,116.3,0.721,222.1
11.09861111,116.2,0.706,222.1
11.1,114.3,0.697,222.8
11.10138889,83,0,146.3
11.10277778,71,0.763,161.2
11.10416667,90.6,0.728,211.9
11.10555556,117.6,0.729,180.7
